kernel,mode,nnr,ngmt,threads,rep,ms,inputs,lane,alloc
newdxx_g,BaO_nat002,64000,18643,2,4,8.388000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,2,5,8.342000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,2,6,8.299000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,2,7,8.381000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,2,8,8.388000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,2,9,8.342000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,2,10,8.413000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,2,11,8.406000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,2,12,11.104000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,2,13,8.427000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,2,14,8.374000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,2,15,8.263000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,2,16,8.244000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,2,17,8.194000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,2,18,8.321000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,2,19,8.223000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,4,0,8.422000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,4,1,8.480000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,4,2,8.476000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,4,3,8.596000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,4,4,8.433000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,4,5,8.402000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,4,6,8.424000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,4,7,8.496000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,4,8,8.381000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,4,9,8.349000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,4,10,8.365000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,4,11,8.386000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,4,12,8.392000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,4,13,8.329000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,4,14,8.340000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,4,15,8.225000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,4,16,8.350000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,4,17,8.349000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,4,18,8.323000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,4,19,8.319000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,8,0,8.428000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,8,1,8.437000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,8,2,8.414000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,8,3,8.353000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,8,4,8.313000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,8,5,8.360000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,8,6,8.310000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,8,7,8.328000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,8,8,8.342000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,8,9,8.327000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,8,10,8.312000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,8,11,8.290000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,8,12,8.342000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,8,13,8.345000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,8,14,8.321000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,8,15,8.316000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,8,16,8.315000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,8,17,8.338000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,8,18,8.360000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,8,19,8.386000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,16,0,9.787000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,16,1,8.327000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,16,2,8.268000,set1,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,16,3,8.341000,set1,flang-openmp,mimalloc
